2026/06/09 13:35:55 No .env file found, using environment variables and defaults
Connected to PostgreSQL
Database migrated successfully
[GIN-debug] [WARNING] Creating an Engine instance with the Logger and Recovery middleware already attached.

[GIN-debug] [WARNING] Running in "debug" mode. Switch to "release" mode in production.
 - using env:	export GIN_MODE=release
 - using code:	gin.SetMode(gin.ReleaseMode)

[GIN-debug] GET    /health                   --> github.com/curio/backend/router.Setup.func1 (4 handlers)
[GIN-debug] GET    /api/v1/feed              --> github.com/curio/backend/handlers.GetFeed (4 handlers)
[GIN-debug] GET    /api/v1/content/:id       --> github.com/curio/backend/handlers.GetContent (4 handlers)
[GIN-debug] POST   /api/v1/content/:id/like  --> github.com/curio/backend/handlers.LikeContent (4 handlers)
[GIN-debug] GET    /api/v1/categories        --> github.com/curio/backend/handlers.GetCategories (4 handlers)
[GIN-debug] GET    /api/v1/categories/l1     --> github.com/curio/backend/handlers.GetL1Categories (4 handlers)
[GIN-debug] POST   /api/v1/feedback          --> github.com/curio/backend/handlers.SubmitFeedback (4 handlers)
2026/06/09 13:35:55 Curio backend starting on :8080
[GIN-debug] [WARNING] You trusted all proxies, this is NOT safe. We recommend you to set a value.
Please check https://github.com/gin-gonic/gin/blob/master/docs/doc.md#dont-trust-all-proxies for details.
[GIN-debug] Listening and serving HTTP on :8080
[GIN] 2026/06/09 - 14:03:17 | 200 |   7.27ms |  223.185.16.243 | GET      "/api/v1/categories/l1"
[GIN] 2026/06/09 - 14:03:17 | 200 |  40.99ms |  223.185.16.243 | GET      "/api/v1/categories"
[GIN] 2026/06/09 - 14:03:17 | 200 |  59.61ms |  223.185.16.243 | GET      "/api/v1/feed?page=1&page_size=8&random=true"
[GIN] 2026/06/09 - 14:03:17 | 200 |  65.41ms |  223.185.16.243 | GET      "/api/v1/feed?page=1&page_size=100&random=true"
[GIN] 2026/06/09 - 14:03:29 | 200 |  21.08ms |  223.185.16.243 | GET      "/api/v1/categories"
[GIN] 2026/06/09 - 14:06:40 | 200 |    2.5ms |  223.185.16.243 | GET      "/api/v1/categories/l1"
[GIN] 2026/06/09 - 14:12:02 | 200 |   1.35ms |  223.185.16.243 | GET      "/api/v1/categories/l1"
[GIN] 2026/06/09 - 14:13:29 | 200 |   1.25ms |  223.185.16.243 | GET      "/api/v1/categories/l1"
[GIN] 2026/06/09 - 14:13:58 | 200 |  18.88ms |  223.185.16.243 | GET      "/api/v1/categories"
[GIN] 2026/06/09 - 14:13:58 | 200 |   1.78ms |  223.185.16.243 | GET      "/api/v1/categories/l1"
[GIN] 2026/06/09 - 14:13:58 | 200 |   3.22ms |  223.185.16.243 | GET      "/api/v1/feed?page=1&page_size=8&random=true"
[GIN] 2026/06/09 - 14:13:58 | 200 |  27.68ms |  223.185.16.243 | GET      "/api/v1/feed?page=1&page_size=100&random=true"
[GIN] 2026/06/09 - 14:16:37 | 200 | 733.959µs |  223.185.16.243 | GET      "/api/v1/categories/l1"
[GIN] 2026/06/09 - 14:17:40 | 200 | 865.167µs |  223.185.16.243 | GET      "/api/v1/categories/l1"
[GIN] 2026/06/09 - 14:18:10 | 200 |   5.41ms |  223.185.16.243 | GET      "/api/v1/categories/l1"
[GIN] 2026/06/09 - 14:20:56 | 200 | 772.666µs |  223.185.16.243 | GET      "/api/v1/categories/l1"
[GIN] 2026/06/09 - 14:22:22 | 200 | 812.584µs |  223.185.16.243 | GET      "/api/v1/categories/l1"
[GIN] 2026/06/09 - 14:22:22 | 200 | 834.708µs |  223.185.16.243 | GET      "/api/v1/categories/l1"
[GIN] 2026/06/09 - 14:25:17 | 200 |   1.01ms |             ::1 | GET      "/api/v1/categories/l1"
[GIN] 2026/06/09 - 14:25:39 | 200 | 839.292µs |  223.185.16.243 | GET      "/api/v1/categories/l1"
[GIN] 2026/06/09 - 14:28:41 | 404 |      9µs |             ::1 | GET      "/api/v1/feedback"
[GIN] 2026/06/09 - 14:29:03 | 404 |  4.042µs |             ::1 | GET      "/api/v1/feedback"
[GIN] 2026/06/09 - 14:30:21 | 200 |  23.92ms |             ::1 | POST     "/api/v1/feedback"
